Wavl[A],Elm,Ion,Elow[eV],UnBrCalDep
4263.99,Nd,2,1.742,0.103
4264.05,Ce,2,0.553,0.024
4264.2,Fe,1,3.368,0.85
4264.37,Ce,2,0.9,0.033
4264.4,Fe,1,4.473,0.065
4264.74,Fe,1,3.96,0.745
4264.84,Fe,1,4.473,0.031
4264.91,Zr,2,1.665,0.304
4265.08,Sm,2,0.185,0.071
4265.18,Fe,1,3.417,0.273
4265.24,Fe,1,3.96,0.385
4265.26,Ti,1,2.289,0.184
4265.27,Fe,1,3.929,0.673
4265.37,Cr,1,3.826,0.042
4265.62,Fe,1,4.435,0.397
4265.69,Ti,1,1.8732,0.392
4265.83,Ti,1,2.427,0.027
4265.92,Mn,1,2.941,0.824
4266.18,Fe,1,4.218,0.098
4266.21,Ti,1,2.297,0.297
4266.29,Ti,1,2.778,0.023
4266.32,Fe,1,4.387,0.319
4266.42,Fe,1,4.191,0.205
4266.71,Nd,2,0.205,0.139
4266.8,Cr,1,3,0.023
4266.86,Fe,1,4.178,0.03
4266.96,Fe,1,2.727,0.879
4267.22,Ce,2,0.561,0.028
4267.29,Fe,1,4.32,0.109
4267.29,Zr,2,2.409,0.028
4267.39,Fe,1,4.283,0.157
4267.83,Fe,1,3.111,0.884
4268.01,Zr,1,0.623,0.029
4268.02,Co,1,0.224,0.125
4268.43,Ni,1,3.193,0.022
4268.44,Co,1,2.542,0.065
4268.61,Fe,1,4.593,0.434
4268.64,V,1,1.868,0.559
4268.73,Gd,2,1.102,0.021
4268.74,Ni,1,3.399,0.036
4268.75,Fe,1,3.301,0.844
4268.78,Cr,1,3.98,0.292
4268.91,Ti,1,2.292,0.054
4268.99,Cr,1,3.079,0.022
4269.02,C,1,7.685,0.054
4269.11,Cr,1,3.839,0.082
4269.15,Fe,1,4.191,0.106
4269.17,Ni,1,3.399,0.112
4269.28,Cr,2,3.854,0.352
4269.38,W,1,0.366,0.026
4269.49,La,2,1.782,0.071
4269.54,Fe,1,4.435,0.421
4269.76,V,1,1.849,0.049
4269.87,Fe,1,3.397,0.823
4269.95,Cr,1,3.087,0.311
4270.08,Fe,1,4.191,0.034
4270.13,Ti,1,2.318,0.107
4270.18,Ce,2,0.561,0.177
4270.3,Fe,1,2.588,0.131
4270.31,V,1,2.575,0.091
4270.36,Co,1,2.542,0.123
4270.41,Co,1,1.049,0.044
4270.57,Nd,2,0,0.26
4270.71,Ce,2,0.957,0.135
4270.85,Sm,2,0.659,0.03
4271.06,Cr,1,3.104,0.471
4271.16,Fe,1,2.4496,0.96
4271.24,Cr,1,3.892,0.142
4271.4,Ni,1,3.193,0.021
4271.55,V,1,1.86,0.471
4271.64,Fe,1,2.198,0.096
4271.76,Fe,1,1.4848,0.988
4271.94,Ti,2,2.061,0.061
4271.94,Fe,1,2.433,0.171
4272.2,Ni,1,4.419,0.026
4272.25,Zr,2,1.827,0.11
4272.27,Pr,2,0.372,0.111
4272.33,Ti,1,2.345,0.088
4272.33,Ce,2,0.74,0.037
4272.42,Ti,1,0.826,0.469
4272.78,Nd,2,0,0.148
4272.86,Fe,1,3.642,0.034
4272.9,Cr,1,2.8995,0.533
4272.98,Fe,1,4.473,0.035
4273.29,Ti,1,2.305,0.117
4273.31,Nd,2,0.205,0.093
4273.33,Fe,2,2.704,0.771
4273.36,Fe,1,2.404,0.594
4273.51,Zr,2,0.758,0.274
4273.64,Na,1,2.102,0.128
4273.81,Ti,1,3.108,0.039
4273.84,Mg,1,4.346,0.336
4273.87,Fe,1,3.071,0.785
4274.39,Ti,1,2.292,0.148
4274.55,Ca,1,2.933,0.032
4274.58,Ti,1,1.879,0.773
4274.6,Ti,1,0.818,0.603
4274.8,Cr,1,0,0.964
4274.85,Fe,1,4.218,0.106
4274.89,Cr,1,3,0.029
